trial,amplitude_mm,r2_seasonal
0,2.862,0.1535
1,0.565,0.0182
2,0.967,0.0329
3,2.526,0.0639
4,2.016,0.0926
9,0.333,0.0036
10,1.169,0.1337
11,1.708,0.0677
12,1.899,0.1026
13,0.565,0.0294
14,1.417,0.0438
15,2.318,0.2408
16,1.25,0.1862
17,0.798,0.0291
18,0.495,0.0097
19,0.988,0.0536
20,2.328,0.0759
21,1.848,0.1059
22,1.353,0.0764
24,2.156,0.1115
25,0.501,0.0072
26,1.038,0.1211
28,1.134,0.0376
29,2.345,0.241
30,0.709,0.0087
33,2.158,0.0804
35,1.169,0.1296
37,2.279,0.0928
38,1.663,0.1157
39,1.312,0.0615
40,0.997,0.0349
43,13.867,0.1778
45,1.544,0.0906
46,0.928,0.0279
47,1.413,0.1034
48,1.637,0.041
49,0.632,0.0425
50,1.638,0.0549
51,1.192,0.0427
52,1.709,0.2005
53,2.745,0.1324
54,0.968,0.0275
55,2.098,0.0899
56,2.059,0.1067
57,2.074,0.1606
58,2.054,0.0624
59,3.205,0.2703
60,1.824,0.0607
61,2.275,0.1274
62,3.381,0.3075
63,1.994,0.1192
64,0.993,0.0178
66,0.674,0.0161
67,1.598,0.0724
68,3.394,0.1613
69,0.508,0.0092
70,1.473,0.032
71,2.74,0.114
72,1.205,0.0495
73,1.891,0.211
74,0.854,0.0358
75,2.142,0.092
77,0.702,0.0074
78,1.235,0.0466
79,2.488,0.101
80,1.447,0.067
81,0.708,0.0285
82,1.764,0.0349
83,1.916,0.0581
84,0.492,0.0198
85,0.513,0.0159
86,0.626,0.0104
87,2.099,0.0807
88,2.435,0.2442
89,1.489,0.0724
90,2.439,0.1117
91,2.419,0.1267
92,2.823,0.1162
93,1.404,0.018
94,1.767,0.0668
95,0.944,0.0783
98,1.44,0.0725
99,1.735,0.091
100,1.527,0.1059
101,1.534,0.0652
102,2.173,0.0873
103,2.358,0.0734
104,3.493,0.19
105,0.609,0.0168
108,1.373,0.1004
109,0.94,0.0095
110,0.935,0.0344
112,2.699,0.15
113,0.861,0.0395
114,0.646,0.0113
115,0.942,0.0254
116,0.694,0.0349
117,1.388,0.0307
118,2.58,0.2803
120,1.821,0.1921
121,1.253,0.0543
122,2.615,0.113
124,1.26,0.0332
126,0.944,0.0783
127,0.522,0.0159
128,2.276,0.1138
129,2.679,0.0612
130,0.988,0.0141
131,0.621,0.0159
132,2.415,0.1334
134,1.378,0.0538
135,2.215,0.0701
137,2.951,0.1339
138,0.687,0.0323
140,1.53,0.0706
141,0.471,0.0128
142,1.626,0.0529
143,0.876,0.0295
144,1.045,0.0372
145,1.643,0.1543
146,1.303,0.0879
147,1.642,0.0394
148,1.286,0.0217
149,1.906,0.2651
151,0.947,0.0519
152,1.017,0.025
153,0.617,0.0251
154,2.604,0.1186
155,2.006,0.0698
156,0.606,0.0127
157,2.198,0.0899
159,1.051,0.0712
160,2.827,0.1956
161,1.703,0.0564
162,1.407,0.0961
163,1.699,0.0881
164,1.319,0.0867
165,0.506,0.0144
166,1.763,0.0459
167,0.716,0.0229
169,1.807,0.1065
170,2.165,0.0697
171,1.457,0.0444
172,0.674,0.0174
173,3.328,0.2905
174,2.222,0.0762
175,2.257,0.0872
176,5.914,0.0954
178,1.1,0.0071
179,1.968,0.1549
180,1.662,0.0436
181,0.722,0.0145
182,1.122,0.0929
183,1.238,0.0718
184,1.827,0.0676
187,3.423,0.139
189,1.947,0.0796
190,3.169,0.1404
191,2.094,0.0869
192,1.489,0.0277
194,1.446,0.0614
195,2.599,0.1217
196,1.464,0.0295
197,2.229,0.0933
198,1.938,0.1135
199,0.43,0.0065
200,3.072,0.1382
201,0.138,0.0015
202,2.933,0.1319
204,2.435,0.099
205,0.395,0.0058
206,2.431,0.0499
207,2.553,0.131
208,1.329,0.0432
209,1.773,0.0473
210,1.187,0.0749
211,1.572,0.0729
212,1.513,0.1292
213,1.686,0.0897
215,2.454,0.1348
216,2.361,0.1564
218,1.158,0.0373
219,2.108,0.181
221,0.803,0.035
222,0.785,0.0393
224,0.722,0.0145
225,0.605,0.0258
226,2.88,0.1226
229,1.81,0.0646
231,1.027,0.1465
232,2.384,0.1317
233,2.092,0.0748
234,8.029,0.2488
236,0.651,0.028
237,1.849,0.0979
238,0.57,0.0485
240,2.666,0.2305
241,1.256,0.0201
242,2.392,0.0651
243,0.95,0.0412
244,1.787,0.0542
245,2.025,0.054
247,1.378,0.1237
248,3.531,0.2174
250,2.127,0.0727
251,1.752,0.0419
252,2.922,0.0679
253,1.595,0.0586
254,3.442,0.1561
255,6.865,0.0899
256,1.79,0.019
257,3.089,0.0138
258,1.629,0.0653
259,3.397,0.1405
260,0.321,0.0035
261,0.432,0.0102
262,2.123,0.0752
263,0.536,0.03
264,1.76,0.0625
265,3.714,0.1724
267,0.94,0.0314
268,1.636,0.1408
269,3.172,0.1324
270,2.094,0.0603
271,0.991,0.0602
272,1.427,0.1392
273,2.736,0.1648
274,1.996,0.108
275,2.174,0.107
276,1.485,0.103
277,0.172,0.0004
278,0.529,0.0168
279,1.736,0.0996
281,0.898,0.0267
282,1.891,0.0449
283,0.673,0.0302
285,0.847,0.0185
286,0.411,0.005
287,6.679,0.1405
288,3.656,0.1662
289,1.13,0.0741
291,1.165,0.0192
292,1.992,0.0752
294,0.827,0.0314
295,0.644,0.0119
296,2.286,0.2086
297,1.767,0.1179
298,2.619,0.1502
299,0.04,0.0001
302,3.878,0.203
303,2.951,0.1339
304,12.948,0.1965
307,1.48,0.0837
308,0.833,0.0221
309,1.845,0.0589
310,2.224,0.0692
311,1.696,0.2021
312,2.211,0.0995
313,1.035,0.0549
314,0.546,0.0174
317,0.993,0.0263
318,1.335,0.0841
320,1.35,0.0363
321,3.075,0.1685
322,2.387,0.115
323,1.304,0.0727
324,3.08,0.0838
325,1.598,0.0925
326,1.595,0.1525
327,0.695,0.0149
328,1.329,0.0835
329,0.941,0.0447
331,2.043,0.0633
332,0.154,0.0003
333,2.526,0.0639
334,1.507,0.0678
335,1.852,0.0565
336,1.349,0.105
337,2.398,0.1159
339,1.505,0.061
340,1.05,0.0477
341,1.256,0.0201
342,1.145,0.1257
343,2.131,0.0775
344,1.992,0.1578
345,2.151,0.0956
348,3.113,0.1305
349,2.64,0.1363
350,3.354,0.1581
351,0.306,0.0033
352,1.845,0.0589
353,1.497,0.2476
354,1.218,0.134
355,2.095,0.0624
356,0.394,0.0062
357,2.247,0.0799
358,2.205,0.0793
359,1.905,0.1378
360,1.032,0.0685
361,2.285,0.1056
362,2.458,0.0998
363,2.963,0.1091
364,1.363,0.1552
367,2.579,0.1298
369,1.608,0.0793
370,0.358,0.0024
371,2.63,0.0639
372,1.186,0.0767
373,2.154,0.149
374,1.194,0.022
375,0.823,0.0444
376,0.812,0.0315
377,0.711,0.0261
378,1.25,0.0616
379,1.15,0.0374
380,2.108,0.1788
381,2.738,0.0821
382,3.507,0.1733
383,1.083,0.0426
384,1.232,0.0439
385,0.137,0.0014
386,4.307,0.1282
388,0.508,0.0092
389,1.737,0.0506
391,0.872,0.036
392,1.272,0.1085
394,0.798,0.0291
395,1.946,0.1374
396,0.125,0.0013
397,1.687,0.0461
398,0.2,0.0023
399,0.659,0.0578
400,1.873,0.0479
401,2.164,0.0745
402,2.184,0.1814
403,1.43,0.0269
404,1.647,0.0651
405,1.657,0.082
406,0.513,0.0102
407,2.319,0.0649
408,1.94,0.1494
409,0.51,0.0161
410,1.298,0.0379
411,0.768,0.0283
412,1.188,0.0233
413,1.719,0.0442
416,0.63,0.0137
417,1.854,0.2443
418,1.503,0.1598
419,1.262,0.0455
420,1.871,0.0495
421,1.715,0.0283
422,1.205,0.0824
423,2.553,0.1444
424,1.317,0.0322
426,2.141,0.1855
427,0.416,0.0135
428,3.444,0.1654
430,2.667,0.1062
431,2.404,0.136
432,2.38,0.0915
433,3.218,0.1253
434,1.643,0.0399
435,1.544,0.1872
436,0.51,0.0478
437,1.468,0.0324
439,1.873,0.134
440,2.579,0.0909
441,2.011,0.067
442,2.505,0.1088
444,0.732,0.0358
448,2.525,0.0765
449,1.809,0.0492
450,1.447,0.067
451,2.237,0.1252
452,0.774,0.0152
453,1.265,0.056
456,6.089,0.1103
457,2.112,0.0982
458,2.444,0.113
459,2.82,0.1234
461,1.025,0.0421
463,1.028,0.0881
464,1.416,0.0728
465,0.209,0.0025
466,0.593,0.0178
467,2.317,0.2191
471,0.945,0.0244
472,2.659,0.1103
474,1.732,0.0529
475,2.16,0.1546
476,1.776,0.0468
477,1.598,0.0925
478,0.792,0.037
479,2.57,0.1126
480,1.683,0.0781
482,3.178,0.158
483,1.337,0.0433
485,3.893,0.2035
486,1.331,0.1185
487,0.189,0.0018
488,3.07,0.1812
489,0.49,0.009
490,1.083,0.0671
491,0.654,0.0287
492,1.378,0.0394
493,1.203,0.0415
494,1.938,0.2668
495,2.269,0.1001
496,2.868,0.1048
498,0.833,0.0458
499,2.88,0.2006
501,2.507,0.1614
502,0.519,0.0199
503,3.1,0.1498
504,0.688,0.0217
505,0.619,0.009
506,2.414,0.1325
507,2.4,0.2325
508,2.849,0.0126
509,1.938,0.2668
511,1.312,0.0615
513,1.125,0.0299
514,1.765,0.0591
516,2.754,0.1733
517,2.0,0.1907
518,2.089,0.0624
519,2.59,0.1758
520,1.781,0.0583
521,2.751,0.1687
522,1.324,0.076
523,1.228,0.0238
524,0.762,0.042
525,1.377,0.0482
526,1.608,0.0793
527,1.0,0.0377
528,1.49,0.0769
529,2.0,0.1143
530,1.607,0.2376
531,2.276,0.0709
532,0.969,0.0497
533,1.169,0.1296
534,1.109,0.0505
536,2.342,0.0751
537,1.404,0.0801
540,1.538,0.1027
541,1.416,0.0728
542,2.163,0.0738
543,2.702,0.1645
545,3.982,0.1025
546,1.529,0.0541
547,1.44,0.0836
548,2.189,0.0752
549,0.392,0.0029
551,1.748,0.0578
553,2.643,0.1608
555,1.995,0.0964
556,1.801,0.072
557,2.589,0.1142
558,1.05,0.0385
559,1.893,0.0475
560,1.952,0.1525
561,1.702,0.0812
562,1.182,0.0802
563,2.171,0.1915
564,0.974,0.0642
565,2.231,0.1027
566,3.986,0.158
567,1.682,0.0997
568,2.952,0.0889
569,3.536,0.142
571,2.057,0.1674
572,1.893,0.0667
573,1.674,0.0515
574,2.962,0.1231
575,2.452,0.1468
576,0.583,0.064
577,1.603,0.0843
578,1.5,0.0504
579,4.758,0.1012
580,2.331,0.0786
581,1.491,0.0724
582,0.892,0.012
584,1.757,0.0441
585,1.682,0.0997
587,1.626,0.1093
588,1.603,0.1005
589,1.127,0.0521
590,1.646,0.052
591,0.953,0.0339
592,1.959,0.0814
594,2.583,0.0707
595,2.221,0.0731
596,2.27,0.0776
597,1.31,0.0843
598,3.409,0.189
599,1.631,0.0668
600,0.717,0.0332
601,1.289,0.0319
602,1.009,0.0335
603,2.003,0.2021
604,1.052,0.0419
607,2.523,0.209
608,1.222,0.0929
609,1.64,0.1971
610,3.301,0.1469
611,2.677,0.1624
612,0.609,0.0115
613,1.589,0.0722
614,2.582,0.0562
615,0.333,0.0036
616,0.982,0.0629
617,2.905,0.1386
618,2.962,0.1299
619,2.75,0.1119
620,0.545,0.0136
622,1.916,0.0581
623,1.449,0.0683
624,0.323,0.0093
625,1.796,0.1303
626,1.893,0.131
627,1.661,0.1136
628,0.632,0.0425
629,0.282,0.0047
630,1.592,0.0851
632,2.636,0.1068
633,0.353,0.0106
634,3.071,0.1178
635,3.808,0.1691
636,1.639,0.0411
638,1.842,0.0714
639,1.869,0.0592
641,1.345,0.0625
642,1.96,0.0603
643,1.637,0.168
644,2.259,0.1553
645,2.37,0.1298
646,2.626,0.1501
647,3.641,0.1114
648,2.525,0.0675
649,3.463,0.3188
651,3.097,0.1339
652,0.688,0.0308
654,2.054,0.0722
655,1.38,0.0835
656,1.596,0.0255
657,1.627,0.0778
658,0.713,0.0314
659,1.948,0.0772
660,1.051,0.0362
661,0.969,0.0494
662,3.447,0.1945
664,2.211,0.0659
665,0.947,0.0434
666,1.826,0.2283
668,2.034,0.1058
670,1.022,0.0331
671,3.109,0.1183
672,3.582,0.1481
673,2.557,0.1762
675,1.789,0.1614
676,1.467,0.1036
677,1.944,0.0465
678,2.644,0.1828
679,0.761,0.0236
680,1.707,0.0607
683,0.846,0.0198
684,1.404,0.0801
685,2.227,0.3297
686,0.637,0.0123
687,1.139,0.0388
688,0.094,0.0008
689,0.824,0.0324
690,2.308,0.0929
692,0.414,0.0073
693,1.672,0.0332
695,1.388,0.165
696,2.326,0.1391
697,2.156,0.1115
698,0.772,0.0231
699,1.431,0.026
700,1.378,0.0538
701,2.276,0.0871
704,3.558,0.1911
705,0.83,0.0961
706,0.777,0.0272
707,3.279,0.3052
708,2.28,0.1056
710,2.566,0.0649
711,2.369,0.0809
713,2.147,0.1953
714,1.527,0.0799
715,1.807,0.0631
716,4.482,0.1173
717,2.526,0.1094
718,2.273,0.0311
719,3.084,0.1427
720,1.744,0.053
721,0.362,0.0056
722,3.152,0.1316
723,0.858,0.033
724,1.592,0.0394
725,1.35,0.0363
726,0.982,0.0615
727,3.359,0.1504
728,6.865,0.0899
730,1.21,0.0686
732,2.729,0.105
733,0.206,0.0026
734,1.769,0.1723
736,0.973,0.1239
737,0.577,0.0039
738,1.458,0.0273
740,1.849,0.1363
741,2.207,0.1206
742,0.909,0.0753
743,2.544,0.1498
744,3.519,0.1697
746,1.503,0.0771
747,0.804,0.029
748,2.049,0.1525
749,1.266,0.0659
750,2.054,0.0244
751,0.49,0.0164
752,2.799,0.1288
754,3.797,0.1599
755,1.833,0.0484
756,0.793,0.0435
757,0.635,0.0263
758,2.74,0.162
759,1.815,0.144
760,0.417,0.0048
762,2.085,0.1016
763,3.067,0.1054
764,2.055,0.1197
765,0.463,0.005
768,2.053,0.1403
769,2.81,0.1851
771,0.386,0.0065
772,1.416,0.0577
773,1.46,0.0672
775,1.651,0.1597
776,1.739,0.1607
777,1.79,0.0965
779,0.959,0.0656
780,1.567,0.1719
781,3.386,0.1722
782,1.592,0.1224
783,1.604,0.0488
784,0.689,0.0085
785,1.683,0.0716
786,2.182,0.1139
787,1.827,0.0794
788,1.789,0.1614
789,0.8,0.0175
790,5.944,0.0475
791,2.525,0.0675
792,0.704,0.037
793,1.905,0.1378
794,0.328,0.0013
796,2.907,0.1601
797,0.998,0.0533
798,2.176,0.0685
799,1.541,0.0481
800,0.893,0.0205
801,2.838,0.0857
802,3.442,0.1736
803,1.526,0.0372
804,1.336,0.0676
805,5.992,0.1405
806,6.679,0.1405
808,0.83,0.0412
809,2.079,0.1019
810,0.721,0.0388
811,1.712,0.052
812,0.273,0.0027
813,2.158,0.0704
814,3.266,0.1877
815,0.303,0.003
816,0.385,0.0096
817,2.467,0.0584
818,2.108,0.0635
819,1.054,0.0324
820,0.977,0.0247
821,2.095,0.0624
822,0.824,0.0324
823,2.221,0.3016
824,1.805,0.0501
825,2.744,0.1331
826,0.798,0.0308
827,1.503,0.1726
828,0.137,0.0013
829,0.513,0.0034
830,1.744,0.0999
831,3.124,0.1653
832,2.637,0.0696
833,1.388,0.0481
835,2.314,0.1161
836,2.199,0.1066
837,1.21,0.0686
839,1.951,0.099
841,1.586,0.1785
842,2.194,0.0797
843,2.539,0.0369
844,2.193,0.0734
845,0.459,0.0132
849,0.986,0.0394
850,1.702,0.0812
851,1.533,0.1576
853,0.479,0.0115
854,1.765,0.0627
855,2.643,0.2862
856,3.093,0.1841
857,3.469,0.0538
858,2.592,0.0989
859,0.452,0.0267
861,1.923,0.1376
862,2.447,0.1041
863,1.116,0.0644
864,1.561,0.0562
865,1.951,0.1522
866,2.457,0.1091
867,0.688,0.0308
868,0.395,0.0058
869,0.804,0.03
870,1.334,0.048
871,1.249,0.1359
872,0.784,0.0567
873,1.931,0.1098
874,0.296,0.0054
875,2.946,0.1203
876,1.332,0.0886
877,3.128,0.1525
878,0.709,0.0135
879,0.835,0.0336
880,0.518,0.0155
881,1.422,0.0842
883,1.793,0.0384
884,2.859,0.1686
885,2.632,0.1283
887,1.425,0.1017
888,2.135,0.0736
889,1.051,0.0344
891,1.439,0.0644
892,1.859,0.0629
893,0.344,0.0091
894,2.011,0.1491
895,1.656,0.096
896,0.534,0.0113
898,2.667,0.1062
900,1.569,0.1569
901,2.505,0.2102
902,2.715,0.1772
903,2.223,0.0872
905,0.993,0.0611
906,1.492,0.0352
907,1.603,0.0676
908,1.434,0.0681
909,1.867,0.1919
910,0.245,0.0037
911,1.244,0.2194
913,0.722,0.0127
914,2.541,0.1389
915,2.773,0.162
916,0.563,0.0169
918,2.292,0.1211
919,0.624,0.0082
920,0.767,0.0152
921,0.788,0.0139
924,1.888,0.148
927,1.041,0.0682
929,2.367,0.1539
930,2.714,0.0785
931,0.565,0.0294
932,1.749,0.1354
933,10.922,0.4596
934,1.892,0.1391
935,2.379,0.0242
936,1.922,0.079
937,0.855,0.0918
939,1.622,0.0742
940,3.061,0.2403
941,7.298,0.1587
942,1.73,0.0536
944,1.495,0.1368
945,0.745,0.032
947,2.437,0.0205
948,1.683,0.1567
950,0.06,0.0002
951,2.214,0.1677
952,2.192,0.3282
953,0.164,0.001
954,3.162,0.1823
955,1.544,0.0753
956,1.556,0.0961
957,2.135,0.0736
959,3.037,0.1724
960,2.295,0.2409
961,1.546,0.0485
962,2.834,0.1292
963,1.533,0.075
964,2.178,0.1584
965,1.643,0.2512
966,1.797,0.1147
967,2.162,0.126
968,0.308,0.006
969,0.859,0.0294
970,0.578,0.0152
971,0.968,0.1024
972,1.002,0.1138
973,1.084,0.056
975,2.707,0.1336
976,2.302,0.089
977,0.611,0.0336
978,2.151,0.0956
979,2.193,0.2164
980,0.868,0.0493
981,2.475,0.111
982,1.195,0.1028
983,3.825,0.165
984,10.586,0.0817
985,0.102,0.0004
986,2.57,0.1126
987,0.308,0.006
988,0.463,0.0331
989,1.674,0.0997
990,2.157,0.1
991,1.113,0.0358
992,1.719,0.0894
993,1.422,0.0508
994,1.023,0.0537
995,0.296,0.0023
996,1.465,0.0256
997,1.529,0.0768
998,2.616,0.0779
999,2.512,0.12
