granule,date,datetime,flight_direction,relative_orbit,full_burst_id,subswath,polarization,platform
S1_154962_IW2_20220101T164428_VV_DEF2-BURST,2022-01-01,2022-01-01 16:44:29,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220108T163616_VV_A8B8-BURST,2022-01-08,2022-01-08 16:36:18,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220108T163619_VV_F433-BURST,2022-01-08,2022-01-08 16:36:20,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220110T050911_VV_C6B7-BURST,2022-01-10,2022-01-10 05:09:12,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220110T050913_VV_C6B7-BURST,2022-01-10,2022-01-10 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220113T164427_VV_5F05-BURST,2022-01-13,2022-01-13 16:44:28,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220120T163616_VV_C0C1-BURST,2022-01-20,2022-01-20 16:36:17,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220120T163618_VV_B3EC-BURST,2022-01-20,2022-01-20 16:36:20,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220122T050910_VV_AF6C-BURST,2022-01-22,2022-01-22 05:09:11,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220122T050913_VV_AF6C-BURST,2022-01-22,2022-01-22 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220125T164427_VV_D35B-BURST,2022-01-25,2022-01-25 16:44:28,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220201T163615_VV_D5E8-BURST,2022-02-01,2022-02-01 16:36:16,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220201T163618_VV_56C7-BURST,2022-02-01,2022-02-01 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220203T050909_VV_B4DC-BURST,2022-02-03,2022-02-03 05:09:10,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220203T050912_VV_B4DC-BURST,2022-02-03,2022-02-03 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220206T164426_VV_343A-BURST,2022-02-06,2022-02-06 16:44:27,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220213T163615_VV_C5E8-BURST,2022-02-13,2022-02-13 16:36:16,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220213T163618_VV_87F0-BURST,2022-02-13,2022-02-13 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220215T050909_VV_6FAE-BURST,2022-02-15,2022-02-15 05:09:10,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220215T050912_VV_6FAE-BURST,2022-02-15,2022-02-15 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220218T164426_VV_554D-BURST,2022-02-18,2022-02-18 16:44:27,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220225T163615_VV_0F38-BURST,2022-02-25,2022-02-25 16:36:16,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220225T163618_VV_B04B-BURST,2022-02-25,2022-02-25 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220227T050909_VV_9D26-BURST,2022-02-27,2022-02-27 05:09:10,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220227T050912_VV_9D26-BURST,2022-02-27,2022-02-27 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220302T164426_VV_4533-BURST,2022-03-02,2022-03-02 16:44:27,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220309T163615_VV_EEB8-BURST,2022-03-09,2022-03-09 16:36:16,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220309T163618_VV_6052-BURST,2022-03-09,2022-03-09 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220311T050909_VV_B82F-BURST,2022-03-11,2022-03-11 05:09:10,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220311T050912_VV_B82F-BURST,2022-03-11,2022-03-11 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220314T164426_VV_5988-BURST,2022-03-14,2022-03-14 16:44:27,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220321T163615_VV_DE95-BURST,2022-03-21,2022-03-21 16:36:16,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220321T163618_VV_D727-BURST,2022-03-21,2022-03-21 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220323T050910_VV_6E61-BURST,2022-03-23,2022-03-23 05:09:11,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220323T050912_VV_6E61-BURST,2022-03-23,2022-03-23 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220326T164426_VV_D365-BURST,2022-03-26,2022-03-26 16:44:27,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220402T163616_VV_C1A7-BURST,2022-04-02,2022-04-02 16:36:17,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220402T163618_VV_4EEB-BURST,2022-04-02,2022-04-02 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220404T050910_VV_791A-BURST,2022-04-04,2022-04-04 05:09:11,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220404T050913_VV_791A-BURST,2022-04-04,2022-04-04 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220407T164426_VV_0C58-BURST,2022-04-07,2022-04-07 16:44:27,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220414T163616_VV_13E8-BURST,2022-04-14,2022-04-14 16:36:17,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220414T163618_VV_D1EA-BURST,2022-04-14,2022-04-14 16:36:19,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
