item_id,datetime,date,cloud_cover,mgrs_tile,platform
S2B_33UWU_20220212_0_L2A,2022-02-12 10:15:58.683,2022-02-12,11.452276,MGRS-33UWU,sentinel-2b
S2B_33UWU_20220301_0_L2A,2022-03-01 10:06:04.171,2022-03-01,2.162102,MGRS-33UWU,sentinel-2b
S2A_33UWU_20220309_0_L2A,2022-03-09 10:16:08.618,2022-03-09,0.007631,MGRS-33UWU,sentinel-2a
S2B_33UWU_20220311_0_L2A,2022-03-11 10:06:05.559,2022-03-11,5.670178,MGRS-33UWU,sentinel-2b
S2B_33UWU_20220314_0_L2A,2022-03-14 10:16:02.724,2022-03-14,0.813929,MGRS-33UWU,sentinel-2b
S2A_33UWU_20220316_0_L2A,2022-03-16 10:06:11.411,2022-03-16,13.458212,MGRS-33UWU,sentinel-2a
S2B_33UWU_20220321_1_L2A,2022-03-21 10:06:05.476,2022-03-21,6.221198,MGRS-33UWU,sentinel-2b
S2B_33UWU_20220324_0_L2A,2022-03-24 10:16:02.194,2022-03-24,1.654513,MGRS-33UWU,sentinel-2b
S2A_33UWU_20220418_0_L2A,2022-04-18 10:16:08.523,2022-04-18,2.602198,MGRS-33UWU,sentinel-2a
S2A_33UWU_20220515_0_L2A,2022-05-15 10:06:12.051,2022-05-15,7.691861,MGRS-33UWU,sentinel-2a
S2B_33UWU_20220619_0_L2A,2022-06-19 10:06:11.885,2022-06-19,1.02518,MGRS-33UWU,sentinel-2b
S2A_33UWU_20220624_0_L2A,2022-06-24 10:06:19.979,2022-06-24,0.000348,MGRS-33UWU,sentinel-2a
S2A_33UWU_20220714_0_L2A,2022-07-14 10:06:20.133,2022-07-14,1.40271,MGRS-33UWU,sentinel-2a
S2B_33UWU_20220719_0_L2A,2022-07-19 10:06:12.445,2022-07-19,0.001512,MGRS-33UWU,sentinel-2b
S2A_33UWU_20220724_0_L2A,2022-07-24 10:06:18.103,2022-07-24,14.134943,MGRS-33UWU,sentinel-2a
S2A_33UWU_20220803_0_L2A,2022-08-03 10:06:18.212,2022-08-03,1.389654,MGRS-33UWU,sentinel-2a
S2B_33UWU_20220811_0_L2A,2022-08-11 10:16:08.174,2022-08-11,17.907293,MGRS-33UWU,sentinel-2b
S2A_33UWU_20220816_0_L2A,2022-08-16 10:16:17.092,2022-08-16,0.51454,MGRS-33UWU,sentinel-2a
S2A_33UWU_20220826_0_L2A,2022-08-26 10:16:17.165,2022-08-26,0.073062,MGRS-33UWU,sentinel-2a
S2A_33UWU_20220905_0_L2A,2022-09-05 10:16:16.277,2022-09-05,19.767185,MGRS-33UWU,sentinel-2a
S2B_33UWU_20220930_0_L2A,2022-09-30 10:16:03.994,2022-09-30,7.501084,MGRS-33UWU,sentinel-2b
S2B_33UWU_20221007_0_L2A,2022-10-07 10:06:04.914,2022-10-07,0.433223,MGRS-33UWU,sentinel-2b
S2B_33UWU_20221020_0_L2A,2022-10-20 10:16:04.011,2022-10-20,0.04711,MGRS-33UWU,sentinel-2b
S2B_33UWU_20221106_0_L2A,2022-11-06 10:06:05.908,2022-11-06,0.000835,MGRS-33UWU,sentinel-2b
S2A_33UWU_20221214_0_L2A,2022-12-14 10:16:04.448,2022-12-14,0.126416,MGRS-33UWU,sentinel-2a
S2A_33UWU_20230103_0_L2A,2023-01-03 10:16:03.630,2023-01-03,18.43091,MGRS-33UWU,sentinel-2a
S2A_33UWU_20230209_0_L2A,2023-02-09 10:06:06.316,2023-02-09,15.999945,MGRS-33UWU,sentinel-2a
S2B_33UWU_20230428_1_L2A,2023-04-28 10:16:05.603,2023-04-28,15.998165,MGRS-33UWU,sentinel-2b
S2A_33UWU_20230430_0_L2A,2023-04-30 10:06:07.875,2023-04-30,6.43293,MGRS-33UWU,sentinel-2a
S2B_33UWU_20230508_0_L2A,2023-05-08 10:16:07.137,2023-05-08,2.992976,MGRS-33UWU,sentinel-2b
S2A_33UWU_20230510_0_L2A,2023-05-10 10:06:06.935,2023-05-10,2.883591,MGRS-33UWU,sentinel-2a
S2A_33UWU_20230513_0_L2A,2023-05-13 10:16:04.444,2023-05-13,17.132077,MGRS-33UWU,sentinel-2a
S2B_33UWU_20230518_0_L2A,2023-05-18 10:16:09.309,2023-05-18,11.632884,MGRS-33UWU,sentinel-2b
S2B_33UWU_20230528_0_L2A,2023-05-28 10:16:09.022,2023-05-28,0.564676,MGRS-33UWU,sentinel-2b
S2A_33UWU_20230530_0_L2A,2023-05-30 10:06:11.393,2023-05-30,0.120542,MGRS-33UWU,sentinel-2a
S2A_33UWU_20230602_0_L2A,2023-06-02 10:16:08.466,2023-06-02,9.380227,MGRS-33UWU,sentinel-2a
S2B_33UWU_20230604_0_L2A,2023-06-04 10:06:11.818,2023-06-04,0.244437,MGRS-33UWU,sentinel-2b
S2B_33UWU_20230707_0_L2A,2023-07-07 10:16:09.908,2023-07-07,9.765044,MGRS-33UWU,sentinel-2b
S2A_33UWU_20230709_0_L2A,2023-07-09 10:06:12.823,2023-07-09,1.108227,MGRS-33UWU,sentinel-2a
S2A_33UWU_20230907_1_L2A,2023-09-07 10:06:16.016,2023-09-07,1.755628,MGRS-33UWU,sentinel-2a
S2A_33UWU_20230910_1_L2A,2023-09-10 10:16:09.594,2023-09-10,3e-06,MGRS-33UWU,sentinel-2a
S2B_33UWU_20230912_0_L2A,2023-09-12 10:06:10.975,2023-09-12,1.957572,MGRS-33UWU,sentinel-2b
S2B_33UWU_20230915_0_L2A,2023-09-15 10:16:07.513,2023-09-15,6.399607,MGRS-33UWU,sentinel-2b
S2A_33UWU_20230927_0_L2A,2023-09-27 10:06:09.850,2023-09-27,9.232318,MGRS-33UWU,sentinel-2a
S2A_33UWU_20231017_0_L2A,2023-10-17 10:06:06.778,2023-10-17,13.365622,MGRS-33UWU,sentinel-2a
S2A_33UWU_20231126_0_L2A,2023-11-26 10:06:01.551,2023-11-26,3.638726,MGRS-33UWU,sentinel-2a
S2A_33UWU_20240108_0_L2A,2024-01-08 10:16:00.214,2024-01-08,0.172289,MGRS-33UWU,sentinel-2a
S2B_33UWU_20240110_0_L2A,2024-01-10 10:06:05.734,2024-01-10,14.820132,MGRS-33UWU,sentinel-2b
S2A_33UWU_20240224_0_L2A,2024-02-24 10:06:05.991,2024-02-24,17.823678,MGRS-33UWU,sentinel-2a
S2A_33UWU_20240308_0_L2A,2024-03-08 10:16:05.118,2024-03-08,0.000723,MGRS-33UWU,sentinel-2a
S2B_33UWU_20240330_0_L2A,2024-03-30 10:06:07.123,2024-03-30,9.434175,MGRS-33UWU,sentinel-2b
S2B_33UWU_20240502_0_L2A,2024-05-02 10:16:04.845,2024-05-02,17.507662,MGRS-33UWU,sentinel-2b
S2A_33UWU_20240514_0_L2A,2024-05-14 10:06:10.509,2024-05-14,0.000117,MGRS-33UWU,sentinel-2a
S2A_33UWU_20240517_0_L2A,2024-05-17 10:16:06.793,2024-05-17,0.069572,MGRS-33UWU,sentinel-2a
S2A_33UWU_20240626_0_L2A,2024-06-26 10:16:07.747,2024-06-26,10.795372,MGRS-33UWU,sentinel-2a
S2B_33UWU_20240721_0_L2A,2024-07-21 10:16:08.025,2024-07-21,0.610648,MGRS-33UWU,sentinel-2b
S2A_33UWU_20240723_0_L2A,2024-07-23 10:06:09.547,2024-07-23,0.888614,MGRS-33UWU,sentinel-2a
S2B_33UWU_20240810_0_L2A,2024-08-10 10:16:08.722,2024-08-10,16.067521,MGRS-33UWU,sentinel-2b
S2A_33UWU_20240812_0_L2A,2024-08-12 10:06:09.120,2024-08-12,3.485576,MGRS-33UWU,sentinel-2a
S2B_33UWU_20240820_0_L2A,2024-08-20 10:16:05.425,2024-08-20,7.695064,MGRS-33UWU,sentinel-2b
S2B_33UWU_20240827_0_L2A,2024-08-27 10:06:09.111,2024-08-27,4.555975,MGRS-33UWU,sentinel-2b
S2A_33UWU_20240904_0_L2A,2024-09-04 10:16:04.632,2024-09-04,3.063653,MGRS-33UWU,sentinel-2a
S2B_33UWU_20240906_0_L2A,2024-09-06 10:06:10.042,2024-09-06,4.561632,MGRS-33UWU,sentinel-2b
S2A_33UWU_20240921_0_L2A,2024-09-21 10:06:08.832,2024-09-21,1.012483,MGRS-33UWU,sentinel-2a
S2B_33UWU_20241016_0_L2A,2024-10-16 10:06:07.608,2024-10-16,12.570104,MGRS-33UWU,sentinel-2b
S2A_33UWU_20241024_0_L2A,2024-10-24 10:16:04.478,2024-10-24,14.231917,MGRS-33UWU,sentinel-2a
S2B_33UWU_20241026_0_L2A,2024-10-26 10:06:08.409,2024-10-26,2.75302,MGRS-33UWU,sentinel-2b
S2A_33UWU_20241130_0_L2A,2024-11-30 10:06:06.830,2024-11-30,0.900013,MGRS-33UWU,sentinel-2a
S2B_33UWU_20241225_0_L2A,2024-12-25 10:06:09.246,2024-12-25,13.488457,MGRS-33UWU,sentinel-2b
