granule,date,datetime,flight_direction,relative_orbit,full_burst_id,subswath,polarization,platform
S1_045867_IW2_20220110T050913_VV_C6B7-BURST,2022-01-10,2022-01-10 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220122T050913_VV_AF6C-BURST,2022-01-22,2022-01-22 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220203T050912_VV_B4DC-BURST,2022-02-03,2022-02-03 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220215T050912_VV_6FAE-BURST,2022-02-15,2022-02-15 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220227T050912_VV_9D26-BURST,2022-02-27,2022-02-27 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220311T050912_VV_B82F-BURST,2022-03-11,2022-03-11 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220323T050912_VV_6E61-BURST,2022-03-23,2022-03-23 05:09:13,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220404T050913_VV_791A-BURST,2022-04-04,2022-04-04 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220416T050913_VV_38A1-BURST,2022-04-16,2022-04-16 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220428T050913_VV_C5F1-BURST,2022-04-28,2022-04-28 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220510T050914_VV_5684-BURST,2022-05-10,2022-05-10 05:09:15,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
