ref_date,sec_date,dt_days,pair,ref_granule,sec_granule
2022-01-10,2022-01-22,12,20220110_20220122,S1_045867_IW2_20220110T050913_VV_C6B7-BURST,S1_045867_IW2_20220122T050913_VV_AF6C-BURST
2022-01-10,2022-02-03,24,20220110_20220203,S1_045867_IW2_20220110T050913_VV_C6B7-BURST,S1_045867_IW2_20220203T050912_VV_B4DC-BURST
2022-01-10,2022-02-15,36,20220110_20220215,S1_045867_IW2_20220110T050913_VV_C6B7-BURST,S1_045867_IW2_20220215T050912_VV_6FAE-BURST
2022-01-10,2022-02-27,48,20220110_20220227,S1_045867_IW2_20220110T050913_VV_C6B7-BURST,S1_045867_IW2_20220227T050912_VV_9D26-BURST
2022-01-22,2022-02-03,12,20220122_20220203,S1_045867_IW2_20220122T050913_VV_AF6C-BURST,S1_045867_IW2_20220203T050912_VV_B4DC-BURST
2022-01-22,2022-02-15,24,20220122_20220215,S1_045867_IW2_20220122T050913_VV_AF6C-BURST,S1_045867_IW2_20220215T050912_VV_6FAE-BURST
2022-01-22,2022-02-27,36,20220122_20220227,S1_045867_IW2_20220122T050913_VV_AF6C-BURST,S1_045867_IW2_20220227T050912_VV_9D26-BURST
2022-01-22,2022-03-11,48,20220122_20220311,S1_045867_IW2_20220122T050913_VV_AF6C-BURST,S1_045867_IW2_20220311T050912_VV_B82F-BURST
2022-02-03,2022-02-15,12,20220203_20220215,S1_045867_IW2_20220203T050912_VV_B4DC-BURST,S1_045867_IW2_20220215T050912_VV_6FAE-BURST
2022-02-03,2022-02-27,24,20220203_20220227,S1_045867_IW2_20220203T050912_VV_B4DC-BURST,S1_045867_IW2_20220227T050912_VV_9D26-BURST
2022-02-03,2022-03-11,36,20220203_20220311,S1_045867_IW2_20220203T050912_VV_B4DC-BURST,S1_045867_IW2_20220311T050912_VV_B82F-BURST
2022-02-03,2022-03-23,48,20220203_20220323,S1_045867_IW2_20220203T050912_VV_B4DC-BURST,S1_045867_IW2_20220323T050912_VV_6E61-BURST
2022-02-15,2022-02-27,12,20220215_20220227,S1_045867_IW2_20220215T050912_VV_6FAE-BURST,S1_045867_IW2_20220227T050912_VV_9D26-BURST
2022-02-15,2022-03-11,24,20220215_20220311,S1_045867_IW2_20220215T050912_VV_6FAE-BURST,S1_045867_IW2_20220311T050912_VV_B82F-BURST
2022-02-15,2022-03-23,36,20220215_20220323,S1_045867_IW2_20220215T050912_VV_6FAE-BURST,S1_045867_IW2_20220323T050912_VV_6E61-BURST
2022-02-15,2022-04-04,48,20220215_20220404,S1_045867_IW2_20220215T050912_VV_6FAE-BURST,S1_045867_IW2_20220404T050913_VV_791A-BURST
2022-02-27,2022-03-11,12,20220227_20220311,S1_045867_IW2_20220227T050912_VV_9D26-BURST,S1_045867_IW2_20220311T050912_VV_B82F-BURST
