pair,ref_date,sec_date,coh_aoi_mean,coh_aoi_median,coh_out_mean,frac_aoi_coh_gt_0p3,dt_days,season,keep
20220108_20220120,2022-01-08,2022-01-20,0.4590683,0.43642914,0.39420804,0.8528368794326241,12,DJF,True
20220108_20220201,2022-01-08,2022-02-01,0.3607035,0.33252555,0.416841,0.6524822695035462,24,DJF,True
20220108_20220213,2022-01-08,2022-02-13,0.36735368,0.336183,0.53651595,0.6737588652482269,36,DJF,True
20220108_20220225,2022-01-08,2022-02-25,0.30929095,0.3007754,0.422998,0.5035460992907801,48,DJF,True
20220120_20220201,2022-01-20,2022-02-01,0.3059095,0.29735678,0.3571798,0.48226950354609927,12,DJF,True
20220120_20220213,2022-01-20,2022-02-13,0.48347458,0.45569277,0.6395131,0.8209219858156028,24,DJF,True
20220120_20220225,2022-01-20,2022-02-25,0.35397112,0.31878868,0.49029484,0.6187943262411347,36,DJF,True
20220120_20220309,2022-01-20,2022-03-09,0.36815217,0.3464502,0.4106403,0.700354609929078,48,DJF,True
20220201_20220213,2022-02-01,2022-02-13,0.30815563,0.29759222,0.4401943,0.4858156028368794,12,DJF,True
20220201_20220225,2022-02-01,2022-02-25,0.2981671,0.2907256,0.37744805,0.4166666666666667,24,DJF,False
20220201_20220309,2022-02-01,2022-03-09,0.30097616,0.2944457,0.3168984,0.44680851063829785,36,DJF,True
20220201_20220321,2022-02-01,2022-03-21,0.29740608,0.2922708,0.30713877,0.44680851063829785,48,DJF,False
20220213_20220225,2022-02-13,2022-02-25,0.57035255,0.57025766,0.6948262,0.8705673758865248,12,DJF,True
20220213_20220309,2022-02-13,2022-03-09,0.4925135,0.47750974,0.46739164,0.8421985815602837,24,DJF,True
20220213_20220321,2022-02-13,2022-03-21,0.37096325,0.35656786,0.3515061,0.7092198581560284,36,DJF,True
20220213_20220402,2022-02-13,2022-04-02,0.36226472,0.34839082,0.3331587,0.7358156028368794,48,DJF,True
20220225_20220309,2022-02-25,2022-03-09,0.78634393,0.81404454,0.6206979,0.9911347517730497,12,DJF,True
20220225_20220321,2022-02-25,2022-03-21,0.40519568,0.40329754,0.37062812,0.8120567375886525,24,DJF,True
20220225_20220402,2022-02-25,2022-04-02,0.31405556,0.30481905,0.3380443,0.5301418439716312,36,DJF,True
20220225_20220414,2022-02-25,2022-04-14,0.3410714,0.32747698,0.36034214,0.6294326241134752,48,DJF,True
20220309_20220321,2022-03-09,2022-03-21,0.6847714,0.7584195,0.52075,0.9273049645390071,12,MAM,True
20220309_20220402,2022-03-09,2022-04-02,0.5289479,0.52790403,0.39189127,0.8882978723404256,24,MAM,True
20220309_20220414,2022-03-09,2022-04-14,0.61566603,0.62988883,0.52227443,0.9468085106382979,36,MAM,True
20220309_20220426,2022-03-09,2022-04-26,0.43564686,0.4147955,0.44926676,0.7854609929078015,48,MAM,True
20220321_20220402,2022-03-21,2022-04-02,0.7342314,0.8187555,0.49486652,0.9397163120567376,12,MAM,True
20220321_20220414,2022-03-21,2022-04-14,0.7862881,0.83723307,0.49355176,0.9946808510638298,24,MAM,True
