pair,dt_years,zone,n_pixels,median_mm_yr,p10_mm_yr,p90_mm_yr
20220414_20230409,0.99,AOI_total,564,-2.1502787821009406,-19.53017148412473,24.216337205158197
20220414_20230409,0.99,class_1,5869,5.435631817483227,-21.984369331321794,50.37374078404391
20220414_20230409,0.99,class_2,7196,4.974514647954493,-31.209793385765806,41.61828033205529
20220414_20230409,0.99,class_3,486,-1.9660297275695484,-19.12418852747942,25.42504277786793
20220414_20230409,0.99,class_4,56,-4.249892046027526,-22.056594569483423,22.45425414913916
20220414_20230409,0.99,class_5,22,-3.585253041565011,-22.088923082825204,16.72672918234748
20220426_20230409,0.95,AOI_total,564,5.030436852957791,-14.002088058309164,27.541203736882743
20220426_20230409,0.95,class_1,5850,12.37492516166094,-13.912030027197034,39.73229387950051
20220426_20230409,0.95,class_2,7194,9.416500465300487,-15.337183322743657,35.18383762040248
20220426_20230409,0.95,class_3,486,5.113520154227444,-14.52761539875064,27.93963031641033
20220426_20230409,0.95,class_4,56,3.579644495566754,-13.986023003297305,22.69692832223518
20220426_20230409,0.95,class_5,22,8.809015500366513,-2.4391399531996285,23.660677138711616
20220414_20230421,1.02,AOI_total,564,3.8826332775606716,-20.836673053287086,25.91913790533435
20220414_20230421,1.02,class_1,5821,7.558560885452607,-13.402870265581441,28.924302037165035
20220414_20230421,1.02,class_2,7145,5.6702344725999865,-15.832722544886199,29.265939433739554
20220414_20230421,1.02,class_3,486,3.7305580416687008,-22.266345132122296,26.78178945590298
20220414_20230421,1.02,class_4,56,3.9523868705018685,-11.795227112221255,24.260338355885324
20220414_20230421,1.02,class_5,22,9.523504933637014,-11.246508798438299,21.816257036862954
20220414_20240427,2.04,AOI_total,564,-11.172364019650558,-18.892645022594753,-2.477865393655157
20220414_20240427,2.04,class_1,5868,3.875907990828182,-12.815691162608436,21.512046175007345
20220414_20240427,2.04,class_2,7196,3.671494617904955,-11.286913889290645,20.636467836534848
20220414_20240427,2.04,class_3,486,-11.239593921396136,-19.029536103524606,-1.6827864597375992
20220414_20240427,2.04,class_4,56,-10.955771912595083,-17.165334206312764,-4.1846592773331395
20220414_20240427,2.04,class_5,22,-12.416100818048108,-18.21364160250696,-5.830522685951017
20220426_20240427,2.0,AOI_total,564,-3.3680159129835374,-12.95392848615047,6.333366437809308
20220426_20240427,2.0,class_1,5858,-3.3389392047392903,-20.292991375492058,10.508867888555326
20220426_20240427,2.0,class_2,7188,0.7474069376858097,-15.488410773957002,15.092141055559845
20220426_20240427,2.0,class_3,486,-3.2177429162748012,-13.051712619819227,6.486040194491579
20220426_20240427,2.0,class_4,56,-5.860926322598971,-12.636457401029475,1.7280807160295808
20220426_20240427,2.0,class_5,22,-1.7379740322830912,-9.25097149874382,6.556073485220259
20220414_20240415,2.0,AOI_total,564,7.825996010273229,-3.189925069423043,17.989100205234717
20220414_20240415,2.0,class_1,6044,0.15230657381471246,-11.488560956103901,13.066240403369008
20220414_20240415,2.0,class_2,7215,-0.7072825180075597,-11.719287158944644,12.060453231708383
20220414_20240415,2.0,class_3,486,6.5776896425377345,-3.508131759292155,15.926943726728496
20220414_20240415,2.0,class_4,56,14.015458196852705,7.929267503517622,20.791506356108584
20220414_20240415,2.0,class_5,22,15.441236639053386,8.476817921768816,20.905190077926093
20230421_20240427,1.02,AOI_total,564,8.747347483942576,-9.827733280977554,29.83925991411379
20230421_20240427,1.02,class_1,5873,-9.111517091972928,-28.266110482587827,11.283592139348915
20230421_20240427,1.02,class_2,7199,-7.666460829685093,-28.65519891815347,13.56601826359838
20230421_20240427,1.02,class_3,486,10.312198150066251,-9.633468693031318,30.57355531585563
20230421_20240427,1.02,class_4,56,5.2806175807454565,-8.971962554147467,22.380392108887463
20230421_20240427,1.02,class_5,22,-4.293886487157579,-16.68331172303151,12.52117752429332
20230421_20240415,0.99,AOI_total,564,-9.865785806905478,-25.258109960719594,6.500273698341334
20230421_20240415,0.99,class_1,5870,-2.0364238239562837,-27.80874224138097,23.83661890392543
20230421_20240415,0.99,class_2,7208,-4.970157873278367,-28.60911141861579,20.04015729833918
20230421_20240415,0.99,class_3,486,-9.306389162957203,-24.912262961282977,7.388455742082442
20230421_20240415,0.99,class_4,56,-12.657296926394338,-25.79799766706128,0.9971587893815013
20230421_20240415,0.99,class_5,22,-11.224398290607496,-30.785340896295384,-0.036720717244313236
20230409_20240403,0.99,AOI_total,564,-21.332114023047325,-45.93925577836926,1.2111805920896577
20230409_20240403,0.99,class_1,6023,-3.8024329728796147,-24.049671241617762,24.346832575745076
20230409_20240403,0.99,class_2,7215,1.3986391317739617,-24.56536474636814,31.27279327102879
20230409_20240403,0.99,class_3,486,-21.861366008139157,-46.85444038973219,1.436846858880017
20230409_20240403,0.99,class_4,56,-17.55944060684851,-40.066946796898264,-3.1677315596461995
20230409_20240403,0.99,class_5,22,-15.19501911358384,-24.953496771483334,-9.178236656896477
