pair,dt_years,zone,n_pixels,median_mm_yr,p10_mm_yr,p90_mm_yr
20220414_20230409,0.99,AOI_total,564,-23.610809326171875,-47.146488189697266,13.608440399169922
20220414_20230409,0.99,class_1,5869,7.930588722229004,-31.72562026977539,36.645896911621094
20220414_20230409,0.99,class_2,7196,2.435880184173584,-42.78596496582031,36.20026397705078
20220414_20230409,0.99,class_3,486,-24.242450714111328,-48.939666748046875,16.695415496826172
20220414_20230409,0.99,class_4,56,-20.012645721435547,-37.27895736694336,9.51065444946289
20220414_20230409,0.99,class_5,22,-18.636470794677734,-38.234474182128906,5.379755020141602
20220414_20240415,2.0,AOI_total,564,15.263646125793457,2.7433524131774902,26.297592163085938
20220414_20240415,2.0,class_1,6044,-2.371488332748413,-23.266576766967773,15.705683708190918
20220414_20240415,2.0,class_2,7215,0.6965137124061584,-25.19427490234375,23.146915435791016
20220414_20240415,2.0,class_3,486,14.002077102661133,2.0574028491973877,26.228961944580078
20220414_20240415,2.0,class_4,56,20.67816925048828,12.197858810424805,28.379634857177734
20220414_20240415,2.0,class_5,22,21.412179946899414,14.722125053405762,28.20186996459961
20230409_20240415,1.02,AOI_total,564,32.32948303222656,-2.9193549156188965,54.53676986694336
20230409_20240415,1.02,class_1,6016,9.595970153808594,-36.587982177734375,70.3407974243164
20230409_20240415,1.02,class_2,7215,23.456430435180664,-35.0155143737793,86.19248962402344
20230409_20240415,1.02,class_3,486,36.29983139038086,0.7947392463684082,56.56169128417969
20230409_20240415,1.02,class_4,56,19.63787841796875,-8.005524635314941,34.072357177734375
20230409_20240415,1.02,class_5,22,4.64046573638916,-16.54564666748047,36.559967041015625
