series,subset,max_dt_days,n_pairs,n_dates,velocity_mm_yr,amplitude_mm,phase_doy,trend_mm_yr,r2_seasonal
A−C (bog vs stable),<=24d,24,175,90,-13.471,9.496,116.8,-11.548,0.736
A−C (bog vs stable),<=36d,36,261,90,-8.495,4.937,103.6,-7.435,0.3812
A−C (bog vs stable),<=48d,48,346,90,-3.867,2.89,105.9,-3.251,0.2186
A−C (bog vs stable),<=60d,60,346,90,-3.867,2.89,105.9,-3.251,0.2186
A−C (bog vs stable),<=120d,120,346,90,-3.867,2.89,105.9,-3.251,0.2186
A−C (bog vs stable),All pairs,9999,356,90,-1.531,3.286,104.2,-0.826,0.2994
B−C (lake vs stable),<=24d,24,175,90,-23.477,9.428,124.2,-21.677,0.5531
B−C (lake vs stable),<=36d,36,261,90,-11.466,5.292,91.2,-10.322,0.3489
B−C (lake vs stable),<=48d,48,346,90,-4.538,2.616,94.6,-3.971,0.1204
B−C (lake vs stable),<=60d,60,346,90,-4.538,2.616,94.6,-3.971,0.1204
B−C (lake vs stable),<=120d,120,346,90,-4.538,2.616,94.6,-3.971,0.1204
B−C (lake vs stable),All pairs,9999,356,90,-1.216,2.627,94.7,-0.647,0.1145
NULL (stable vs stable),<=24d,24,175,90,-1.869,1.374,336.5,-2.029,0.215
NULL (stable vs stable),<=36d,36,261,90,-4.421,0.356,59.9,-4.358,0.0147
NULL (stable vs stable),<=48d,48,346,90,-4.877,0.438,94.9,-4.782,0.0233
NULL (stable vs stable),<=60d,60,346,90,-4.877,0.438,94.9,-4.782,0.0233
NULL (stable vs stable),<=120d,120,346,90,-4.877,0.438,94.9,-4.782,0.0233
NULL (stable vs stable),All pairs,9999,356,90,-1.501,0.568,94.6,-1.378,0.0553
