trial,amplitude_mm,r2_seasonal
0,2.097,0.1207
1,0.232,0.004
2,0.823,0.0299
3,1.919,0.0684
4,1.772,0.1107
5,2.713,0.0611
6,3.026,0.1026
8,4.808,0.1626
9,0.273,0.0038
10,0.326,0.0343
11,1.905,0.0916
12,1.019,0.0424
13,0.615,0.0501
14,1.995,0.095
15,1.972,0.186
16,0.227,0.0231
17,0.956,0.0686
18,0.375,0.0083
19,0.324,0.006
20,1.771,0.0643
21,1.897,0.1087
22,1.168,0.0829
24,2.09,0.1382
25,0.634,0.013
26,0.288,0.0159
27,2.356,0.0458
28,1.542,0.0806
29,1.991,0.1877
30,0.933,0.0248
31,2.881,0.1518
33,2.635,0.1289
35,0.267,0.0133
37,1.775,0.1105
38,1.003,0.0653
39,1.393,0.0843
40,1.619,0.0962
42,1.907,0.0315
43,2.023,0.0503
45,1.258,0.0903
46,0.44,0.0115
47,1.099,0.0933
48,2.069,0.0679
49,0.768,0.0748
50,1.061,0.0421
51,1.52,0.0843
52,1.293,0.1491
53,2.253,0.1065
54,0.788,0.0217
55,2.243,0.1071
56,2.087,0.1347
57,1.333,0.173
58,2.043,0.0833
59,1.665,0.217
60,1.502,0.0609
61,1.449,0.1127
62,2.374,0.2217
63,1.873,0.1075
64,0.959,0.0235
65,8.497,0.1182
66,0.408,0.0098
67,1.486,0.0942
68,2.357,0.1181
69,0.547,0.0158
70,1.134,0.0483
71,2.323,0.1224
72,1.361,0.0805
73,1.165,0.1455
74,1.132,0.0781
75,2.415,0.1346
77,1.226,0.0306
78,0.831,0.0372
79,2.335,0.1166
80,0.73,0.027
81,0.496,0.0156
82,2.109,0.0769
83,1.597,0.0615
84,0.085,0.0007
85,0.376,0.0096
86,0.742,0.0276
87,1.823,0.0966
88,2.129,0.1711
89,1.507,0.0686
90,2.096,0.0934
91,2.367,0.1203
92,2.55,0.1062
93,2.156,0.0706
94,1.2,0.0583
95,0.906,0.1071
96,2.406,0.0595
97,3.004,0.1007
98,1.411,0.0657
99,1.921,0.1043
100,1.887,0.1341
101,1.225,0.0483
102,1.799,0.0847
103,2.542,0.099
104,2.489,0.1484
105,0.268,0.0043
107,2.925,0.0706
108,0.196,0.0032
109,1.156,0.0467
110,0.781,0.0349
111,7.33,0.096
112,1.92,0.1041
113,1.11,0.0518
114,0.407,0.0062
115,1.512,0.0703
116,0.075,0.0005
117,1.949,0.0564
118,2.277,0.1776
120,1.158,0.1847
121,1.398,0.0751
122,2.246,0.109
123,2.402,0.1245
124,1.916,0.09
125,43.545,0.174
126,0.906,0.1071
127,0.481,0.0287
128,2.287,0.1153
129,1.524,0.0514
130,0.892,0.02
131,0.173,0.0025
132,2.34,0.1192
133,2.367,0.0708
134,1.415,0.0693
135,1.779,0.0606
136,3.408,0.0588
137,2.27,0.1181
138,0.299,0.0068
140,0.892,0.0383
141,0.239,0.0041
142,1.018,0.0396
143,0.334,0.0058
144,1.517,0.0903
145,1.507,0.1546
146,0.97,0.0572
147,1.909,0.0813
148,1.872,0.0493
149,1.106,0.1609
150,2.948,0.0762
151,1.226,0.0736
152,1.038,0.0281
153,0.349,0.0088
154,2.506,0.1323
155,1.491,0.0507
156,0.08,0.0004
157,2.296,0.1128
159,1.168,0.1142
160,2.302,0.1297
161,1.047,0.0425
162,1.733,0.1188
163,1.062,0.0451
164,1.737,0.1425
165,0.933,0.0719
166,2.044,0.0638
167,0.286,0.005
169,1.773,0.1205
170,2.171,0.0802
171,1.023,0.0419
172,0.956,0.0503
173,2.298,0.205
174,2.385,0.1112
175,2.327,0.1159
176,2.734,0.1088
177,3.088,0.1284
178,1.714,0.0357
179,1.814,0.1688
180,1.791,0.0721
181,0.338,0.0049
182,0.535,0.0655
183,0.327,0.0057
184,2.492,0.1461
187,2.49,0.1206
188,7.139,0.1578
189,2.243,0.1098
190,2.662,0.1383
191,2.288,0.1122
192,1.136,0.0472
194,0.891,0.0396
195,2.255,0.1073
196,1.118,0.0467
197,2.422,0.1286
198,1.74,0.1124
199,0.466,0.0087
200,2.921,0.1302
201,1.061,0.0826
202,2.522,0.1158
203,1.453,0.0297
204,1.969,0.0804
205,1.293,0.0582
206,1.88,0.0443
207,2.275,0.112
208,2.075,0.1009
209,1.762,0.0543
210,1.607,0.1361
211,0.626,0.0203
212,1.151,0.1126
213,1.181,0.07
215,2.328,0.1155
216,1.236,0.0728
217,3.214,0.0922
218,1.161,0.0406
219,1.799,0.1549
220,2.205,0.0615
221,1.12,0.0686
222,0.89,0.0551
224,0.338,0.0049
225,0.099,0.0009
226,2.303,0.1215
228,3.917,0.1249
229,1.17,0.0506
231,0.9,0.1488
232,2.282,0.1144
233,1.436,0.0487
