zone,pair,dt_days,season,mean_coh,n_px
A,20220108_20220120,12,hiver,0.4435485303401947,499
B,20220108_20220120,12,hiver,0.5782124400138855,65
C,20220108_20220120,12,hiver,0.5109764337539673,374
D,20220108_20220120,12,hiver,0.3906122148036957,8414
A,20220108_20220201,24,hiver,0.36493831872940063,499
B,20220108_20220201,24,hiver,0.32819288969039917,65
C,20220108_20220201,24,hiver,0.4992813766002655,374
D,20220108_20220201,24,hiver,0.4118420481681824,8348
A,20220108_20220213,36,hiver,0.34821581840515137,499
B,20220108_20220213,36,hiver,0.514273464679718,65
C,20220108_20220213,36,hiver,0.5705280900001526,374
D,20220108_20220213,36,hiver,0.5329478979110718,8483
A,20220108_20220225,48,hiver,0.31266117095947266,499
B,20220108_20220225,48,hiver,0.28341811895370483,65
C,20220108_20220225,48,hiver,0.46282121539115906,374
D,20220108_20220225,48,hiver,0.4155527949333191,8481
A,20220120_20220201,12,hiver,0.3051398694515228,499
B,20220120_20220201,12,hiver,0.31181803345680237,65
C,20220120_20220201,12,hiver,0.39874276518821716,374
D,20220120_20220201,12,hiver,0.3517237901687622,8338
A,20220120_20220213,24,hiver,0.47348451614379883,499
B,20220120_20220213,24,hiver,0.5601674318313599,65
C,20220120_20220213,24,hiver,0.7304442524909973,374
D,20220120_20220213,24,hiver,0.6242658495903015,8528
A,20220120_20220225,36,hiver,0.3610757291316986,499
B,20220120_20220225,36,hiver,0.29942965507507324,65
C,20220120_20220225,36,hiver,0.6241085529327393,374
D,20220120_20220225,36,hiver,0.48175951838493347,8462
A,20220120_20220309,48,hiver,0.3680823743343353,499
B,20220120_20220309,48,hiver,0.3686878979206085,65
C,20220120_20220309,48,hiver,0.5262289047241211,374
D,20220120_20220309,48,hiver,0.4031076729297638,8462
A,20220201_20220213,12,hiver,0.3063412308692932,499
B,20220201_20220213,12,hiver,0.32208487391471863,65
C,20220201_20220213,12,hiver,0.4663647413253784,374
D,20220201_20220213,12,hiver,0.4376336634159088,8459
A,20220201_20220225,24,hiver,0.3000921905040741,499
B,20220201_20220225,24,hiver,0.28338858485221863,65
C,20220201_20220225,24,hiver,0.39928779006004333,374
D,20220201_20220225,24,hiver,0.37486138939857483,8448
