zone,pair,dt_days,season,mean_coh,n_px
A,20220110_20220122,12,hiver,0.813941240310669,499
B,20220110_20220122,12,hiver,0.8751490116119385,65
C,20220110_20220122,12,hiver,0.8178190588951111,394
D,20220110_20220122,12,hiver,0.5206608772277832,10571
A,20220110_20220203,24,hiver,0.3773496150970459,499
B,20220110_20220203,24,hiver,0.35948988795280457,65
C,20220110_20220203,24,hiver,0.5702066421508789,394
D,20220110_20220203,24,hiver,0.38897934556007385,10538
A,20220110_20220215,36,hiver,0.32400140166282654,499
B,20220110_20220215,36,hiver,0.2934194803237915,65
C,20220110_20220215,36,hiver,0.47479113936424255,394
D,20220110_20220215,36,hiver,0.3510659337043762,10456
A,20220110_20220227,48,hiver,0.33298787474632263,499
B,20220110_20220227,48,hiver,0.34709346294403076,65
C,20220110_20220227,48,hiver,0.48012593388557434,394
D,20220110_20220227,48,hiver,0.35215824842453003,10539
A,20220122_20220203,12,hiver,0.38581758737564087,499
B,20220122_20220203,12,hiver,0.311318576335907,65
C,20220122_20220203,12,hiver,0.5941081643104553,394
D,20220122_20220203,12,hiver,0.3891526758670807,10559
A,20220122_20220215,24,hiver,0.3367554843425751,499
B,20220122_20220215,24,hiver,0.4194567799568176,65
C,20220122_20220215,24,hiver,0.490831583738327,394
D,20220122_20220215,24,hiver,0.36694037914276123,10485
A,20220122_20220227,36,hiver,0.35275334119796753,499
B,20220122_20220227,36,hiver,0.43977439403533936,65
C,20220122_20220227,36,hiver,0.4947672486305237,394
D,20220122_20220227,36,hiver,0.34961435198783875,10522
A,20220122_20220311,48,hiver,0.32448846101760864,499
B,20220122_20220311,48,hiver,0.27996134757995605,65
C,20220122_20220311,48,hiver,0.46515318751335144,394
D,20220122_20220311,48,hiver,0.3487686216831207,10559
A,20220203_20220215,12,hiver,0.4960522949695587,499
B,20220203_20220215,12,hiver,0.37725093960762024,65
C,20220203_20220215,12,hiver,0.7793044447898865,394
D,20220203_20220215,12,hiver,0.628354549407959,10500
A,20220203_20220227,24,hiver,0.447159081697464,499
B,20220203_20220227,24,hiver,0.4539492428302765,65
C,20220203_20220227,24,hiver,0.6709489226341248,394
D,20220203_20220227,24,hiver,0.48962855339050293,10534
A,20220203_20220311,36,hiver,0.3214794397354126,499
B,20220203_20220311,36,hiver,0.27757540345191956,65
C,20220203_20220311,36,hiver,0.4150688052177429,394
D,20220203_20220311,36,hiver,0.3308165967464447,10534
A,20220203_20220323,48,hiver,0.3135887682437897,499
B,20220203_20220323,48,hiver,0.3724428415298462,65
C,20220203_20220323,48,hiver,0.36238858103752136,394
D,20220203_20220323,48,hiver,0.31371742486953735,10534
A,20220215_20220227,12,hiver,0.4259830713272095,499
B,20220215_20220227,12,hiver,0.2900265157222748,65
C,20220215_20220227,12,hiver,0.697863757610321,394
D,20220215_20220227,12,hiver,0.516959547996521,10516
A,20220215_20220311,24,hiver,0.3011283874511719,499
B,20220215_20220311,24,hiver,0.3209610879421234,65
C,20220215_20220311,24,hiver,0.4133102595806122,394
D,20220215_20220311,24,hiver,0.3285481333732605,10560
A,20220215_20220323,36,hiver,0.3055464029312134,499
B,20220215_20220323,36,hiver,0.29595619440078735,65
C,20220215_20220323,36,hiver,0.3487285375595093,394
D,20220215_20220323,36,hiver,0.3128228485584259,10518
A,20220215_20220404,48,hiver,0.30769920349121094,499
B,20220215_20220404,48,hiver,0.32048121094703674,65
C,20220215_20220404,48,hiver,0.36371368169784546,394
D,20220215_20220404,48,hiver,0.31278467178344727,10446
A,20220227_20220311,12,hiver,0.4396434426307678,499
B,20220227_20220311,12,hiver,0.4049678444862366,65
C,20220227_20220311,12,hiver,0.5449115037918091,394
D,20220227_20220311,12,hiver,0.3843194842338562,10570
A,20220227_20220323,24,hiver,0.3579219579696655,499
B,20220227_20220323,24,hiver,0.5371484756469727,65
C,20220227_20220323,24,hiver,0.4370088577270508,394
D,20220227_20220323,24,hiver,0.3355473577976227,10530
A,20220227_20220404,36,hiver,0.3645176589488983,499
B,20220227_20220404,36,hiver,0.27818289399147034,65
C,20220227_20220404,36,hiver,0.4502912759780884,394
D,20220227_20220404,36,hiver,0.33826321363449097,10450
A,20220227_20220416,48,hiver,0.3844527304172516,499
B,20220227_20220416,48,hiver,0.4085007309913635,65
C,20220227_20220416,48,hiver,0.6519115567207336,394
D,20220227_20220416,48,hiver,0.538209080696106,10490
A,20220311_20220323,12,printemps,0.5938339233398438,499
B,20220311_20220323,12,printemps,0.42364513874053955,65
C,20220311_20220323,12,printemps,0.8218091726303101,394
D,20220311_20220323,12,printemps,0.7171081900596619,10533
A,20220311_20220404,24,printemps,0.36196815967559814,499
B,20220311_20220404,24,printemps,0.40706148743629456,65
C,20220311_20220404,24,printemps,0.48981672525405884,394
D,20220311_20220404,24,printemps,0.34798943996429443,10451
A,20220311_20220416,36,printemps,0.3112463355064392,499
B,20220311_20220416,36,printemps,0.28070464730262756,65
C,20220311_20220416,36,printemps,0.38704127073287964,394
D,20220311_20220416,36,printemps,0.3270918130874634,10451
A,20220311_20220428,48,printemps,0.3181387484073639,499
B,20220311_20220428,48,printemps,0.34153157472610474,65
C,20220311_20220428,48,printemps,0.458097904920578,394
D,20220311_20220428,48,printemps,0.3716925382614136,10535
A,20220323_20220404,12,printemps,0.49368080496788025,499
B,20220323_20220404,12,printemps,0.34719201922416687,65
C,20220323_20220404,12,printemps,0.6302317380905151,394
D,20220323_20220404,12,printemps,0.4143318235874176,10468
A,20220323_20220416,24,printemps,0.3539412319660187,499
B,20220323_20220416,24,printemps,0.6160174012184143,65
C,20220323_20220416,24,printemps,0.4250886142253876,394
D,20220323_20220416,24,printemps,0.3258085548877716,10468
A,20220323_20220428,36,printemps,0.36208245158195496,499
B,20220323_20220428,36,printemps,0.32892513275146484,65
C,20220323_20220428,36,printemps,0.6681899428367615,394
